Customer_ID,InvoiceDate_mod,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
18102,2025-12-09 11:50:00,1,153,570380.61,5,5,5,15,Champions
14646,2025-12-08 12:12:00,2,164,523342.07,5,5,5,15,Champions
14156,2025-11-30 10:54:00,10,202,296063.44,5,5,5,15,Champions
14911,2025-12-08 15:54:00,1,510,265757.91,5,5,5,15,Champions
17450,2025-12-01 13:29:00,8,61,231390.55,5,5,5,15,Champions
13694,2025-12-06 09:32:00,4,164,190020.84,5,5,5,15,Champions
17511,2025-12-07 10:12:00,3,85,168491.62,5,5,5,15,Champions
16684,2025-12-05 14:06:00,4,65,141502.25,5,5,5,15,Champions
15061,2025-12-06 12:06:00,4,138,124961.98,5,5,5,15,Champions
15311,2025-12-09 12:00:00,1,270,111739.36,5,5,5,15,Champions
13089,2025-12-07 09:02:00,3,247,109893.24,5,5,5,15,Champions
17949,2025-12-08 18:46:00,1,138,97581.59,5,5,5,15,Champions
14298,2025-12-06 15:04:00,3,84,90489.31,5,5,5,15,Champions
15769,2025-12-02 13:52:00,7,51,84177.58,5,5,5,15,Champions
13798,2025-12-08 15:51:00,1,125,73166.92,5,5,5,15,Champions
15838,2025-11-28 14:00:00,11,38,72727.41,5,5,5,15,Champions
17841,2025-12-08 12:07:00,2,289,67186.87,5,5,5,15,Champions
14088,2025-11-29 16:16:00,10,20,62400.02,5,5,5,15,Champions
16422,2025-11-22 14:00:00,17,146,59379.94,5,5,5,15,Champions
14096,2025-12-05 17:17:00,4,34,57120.909999999996,5,5,5,15,Champions
13081,2025-12-08 13:13:00,1,44,55961.37,5,5,5,15,Champions
17389,2025-12-09 09:38:00,1,77,54577.68,5,5,5,15,Champions
16013,2025-12-06 10:36:00,4,94,51420.92,5,5,5,15,Champions
13408,2025-12-08 09:05:00,2,135,49315.022,5,5,5,15,Champions
13777,2025-12-09 12:25:00,1,73,49218.41,5,5,5,15,Champions
12748,2025-12-09 12:20:00,1,365,46933.33,5,5,5,15,Champions
17404,2025-12-05 16:26:00,4,28,46006.82,5,5,5,15,Champions
13881,2025-12-06 12:50:00,4,51,44392.5,5,5,5,15,Champions
16705,2025-12-09 12:08:00,1,61,42653.141,5,5,5,15,Champions
15039,2025-11-30 11:31:00,10,107,38853.04,5,5,5,15,Champions
12471,2025-12-07 15:43:00,2,129,37920.01,5,5,5,15,Champions
17675,2025-12-08 18:03:00,1,90,37064.32,5,5,5,15,Champions
17381,2025-12-01 11:59:00,9,39,36395.47,5,5,5,15,Champions
14031,2025-12-02 17:13:00,7,55,36048.26,5,5,5,15,Champions
17677,2025-12-08 09:56:00,2,91,34232.18,5,5,5,15,Champions
12921,2025-12-06 09:56:00,4,103,33951.65,5,5,5,15,Champions
16210,2025-12-08 12:36:00,2,37,33565.52,5,5,5,15,Champions
13767,2025-12-07 15:00:00,2,96,33480.82,5,5,5,15,Champions
16779,2025-12-07 14:54:00,2,62,32522.4,5,5,5,15,Champions
15856,2025-12-05 17:09:00,4,58,31873.05,5,5,5,15,Champions
14258,2025-11-30 15:27:00,9,32,31027.35,5,5,5,15,Champions
17428,2025-12-09 09:45:00,1,51,30885.06,5,5,5,15,Champions
12681,2025-11-25 11:35:00,15,56,29518.24,5,5,5,15,Champions
12709,2025-12-06 16:42:00,3,55,29511.03,5,5,5,15,Champions
14606,2025-12-08 19:28:00,1,259,29197.59,5,5,5,15,Champions
13098,2025-12-08 14:14:00,1,41,28658.88,5,5,5,15,Champions
13078,2025-12-08 18:48:00,1,95,28369.44,5,5,5,15,Champions
17857,2025-12-06 13:41:00,3,26,27231.34,5,5,5,15,Champions
16333,2025-12-02 12:19:00,8,22,26626.8,5,5,5,15,Champions
14062,2025-11-30 10:04:00,10,27,25416.28,5,5,5,15,Champions
14527,2025-12-07 12:19:00,3,190,25285.91,5,5,5,15,Champions
