Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer_ID,Country,InvoiceDate_mod,Revenue,Is_Return,Year,Month
506281,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2010-04-28 16:17:00,9.95,14395,United Kingdom,2024-04-28 16:17:00,19.9,False,2024,2024-04
528336,22470,HEART OF WICKER LARGE,3,2010-10-21 13:57:00,2.95,15995,United Kingdom,2024-10-21 13:57:00,8.850000000000001,False,2024,2024-10
580276,20727,LUNCH BAG  BLACK SKULL.,3,2011-12-02 12:59:00,1.65,16426,United Kingdom,2025-12-02 12:59:00,4.949999999999999,False,2025,2025-12
580635,21733,RED HANGING HEART T-LIGHT HOLDER,3,2011-12-05 12:30:00,2.95,14649,United Kingdom,2025-12-05 12:30:00,8.850000000000001,False,2025,2025-12
491041,21558,SKULL LUNCHBOX WITH CUTLERY,1,2009-12-09 09:42:00,5.17,,United Kingdom,2023-12-09 09:42:00,5.17,False,2023,2023-12
539053,21357,TOAST ITS - DINOSAUR,1,2010-12-15 16:32:00,1.25,16725,United Kingdom,2024-12-15 16:32:00,1.25,False,2024,2024-12
575477,22283,6 EGG HOUSE PAINTED WOOD,1,2011-11-09 16:14:00,15.79,,United Kingdom,2025-11-09 16:14:00,15.79,False,2025,2025-11
507710,21544,SKULLS  WATER TRANSFER TATTOOS,12,2010-05-11 11:29:00,0.85,13206,United Kingdom,2024-05-11 11:29:00,10.2,False,2024,2024-05
493066,21529,RETRO SPOT CERAMIC TOASTRACK,1,2009-12-21 17:14:00,3.45,,United Kingdom,2023-12-21 17:14:00,3.45,False,2023,2023-12
553189,21447,12 IVORY ROSE PEG PLACE SETTINGS,3,2011-05-15 13:14:00,1.25,15033,United Kingdom,2025-05-15 13:14:00,3.75,False,2025,2025-05
504082,15044A,PINK PAPER PARASOL,2,2010-04-09 12:40:00,2.95,17841,United Kingdom,2024-04-09 12:40:00,5.9,False,2024,2024-04
521866,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,8,2010-09-09 11:02:00,2.95,14918,United Kingdom,2024-09-09 11:02:00,23.6,False,2024,2024-09
516323,22423,REGENCY CAKESTAND 3 TIER,16,2010-07-19 15:29:00,10.95,14441,United Kingdom,2024-07-19 15:29:00,175.2,False,2024,2024-07
501910,85213,MINI  ZINC GARDEN DECORATIONS,12,2010-03-22 09:05:00,0.85,12639,Sweden,2024-03-22 09:05:00,10.2,False,2024,2024-03
526665,35810A,ENAMEL PINK COFFEE CONTAINER,6,2010-10-12 15:20:00,2.1,17428,United Kingdom,2024-10-12 15:20:00,12.6,False,2024,2024-10
C570867,21059,PARTY INVITES DINOSAURS,-12,2011-10-12 16:17:00,0.85,12607,USA,2025-10-12 16:17:00,-10.2,True,2025,2025-10
517521,22690,DOORMAT HOME SWEET HOME BLUE,10,2010-07-29 14:00:00,6.35,13680,United Kingdom,2024-07-29 14:00:00,63.5,False,2024,2024-07
568519,21014,SWISS CHALET TREE DECORATION,24,2011-09-27 12:57:00,0.29,16607,United Kingdom,2025-09-27 12:57:00,6.959999999999999,False,2025,2025-09
539958,22554,PLASTERS IN TIN WOODLAND ANIMALS,2,2010-12-23 13:26:00,3.36,,United Kingdom,2024-12-23 13:26:00,6.72,False,2024,2024-12
570177,22082,RIBBON REEL STRIPES DESIGN,10,2011-10-07 14:17:00,1.65,17509,United Kingdom,2025-10-07 14:17:00,16.5,False,2025,2025-10
514131,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2010-06-30 13:17:00,1.95,13269,United Kingdom,2024-06-30 13:17:00,23.4,False,2024,2024-06
517069,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-07-26 13:50:00,0.95,15015,United Kingdom,2024-07-26 13:50:00,0.95,False,2024,2024-07
506708,21326,AGED GLASS SILVER T-LIGHT HOLDER,2,2010-05-02 14:53:00,0.65,15719,United Kingdom,2024-05-02 14:53:00,1.3,False,2024,2024-05
498347,22412,METAL SIGN NEIGHBOURHOOD WITCH,2,2010-02-18 12:01:00,2.1,16713,United Kingdom,2024-02-18 12:01:00,4.2,False,2024,2024-02
542151,79321,CHILLI LIGHTS,4,2011-01-26 10:30:00,4.95,13491,United Kingdom,2025-01-26 10:30:00,19.8,False,2025,2025-01
567525,21174,POTTERING IN THE SHED METAL SIGN,12,2011-09-21 08:56:00,2.08,18241,United Kingdom,2025-09-21 08:56:00,24.96,False,2025,2025-09
494019,22115,METAL SIGN EMPIRE TEA,1,2010-01-11 09:38:00,6.04,,United Kingdom,2024-01-11 09:38:00,6.04,False,2024,2024-01
499352,22185,SLATE TILE NATURAL HANGING,1,2010-02-26 11:38:00,1.65,12748,United Kingdom,2024-02-26 11:38:00,1.65,False,2024,2024-02
537129,21915,RED  HARMONICA IN BOX,24,2010-12-05 12:15:00,1.25,13506,United Kingdom,2024-12-05 12:15:00,30.0,False,2024,2024-12
495925,21891,TRADITIONAL WOODEN SKIPPING ROPE,4,2010-01-27 14:38:00,1.25,17861,United Kingdom,2024-01-27 14:38:00,5.0,False,2024,2024-01
507432,20981,12 PENCILS TALL TUBE WOODLAND,8,2010-05-09 16:10:00,0.85,16655,United Kingdom,2024-05-09 16:10:00,6.8,False,2024,2024-05
580997,23552,BICYCLE PUNCTURE REPAIR KIT,6,2011-12-06 17:23:00,2.08,15023,United Kingdom,2025-12-06 17:23:00,12.48,False,2025,2025-12
539436,22297,HEART IVORY TRELLIS SMALL,2,2010-12-17 14:49:00,2.51,,United Kingdom,2024-12-17 14:49:00,5.02,False,2024,2024-12
529828,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,2010-10-31 12:00:00,1.95,17609,United Kingdom,2024-10-31 12:00:00,1.95,False,2024,2024-10
536982,22150,3 STRIPEY MICE FELTCRAFT,5,2010-12-03 14:27:00,5.06,,United Kingdom,2024-12-03 14:27:00,25.3,False,2024,2024-12
533996,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2010-11-19 14:14:00,9.95,17865,United Kingdom,2024-11-19 14:14:00,19.9,False,2024,2024-11
520411,20785,FUSCHIA RETRO BAR STOOL,2,2010-08-26 09:36:00,34.0,,United Kingdom,2024-08-26 09:36:00,68.0,False,2024,2024-08
559813,22960,JAM MAKING SET WITH JARS,6,2011-07-12 15:42:00,4.25,18272,United Kingdom,2025-07-12 15:42:00,25.5,False,2025,2025-07
494897,46000U,POLYESTER FILLER PAD 30CMx30CM,6,2010-01-19 14:16:00,1.25,12437,France,2024-01-19 14:16:00,7.5,False,2024,2024-01
C569993,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,-4,2011-10-06 20:28:00,3.75,17633,United Kingdom,2025-10-06 20:28:00,-15.0,True,2025,2025-10
571652,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2011-10-18 12:17:00,1.65,,Hong Kong,2025-10-18 12:17:00,19.8,False,2025,2025-10
535997,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2010-11-29 13:55:00,2.1,12935,United Kingdom,2024-11-29 13:55:00,12.6,False,2024,2024-11
568346,21172,PARTY METAL SIGN,1,2011-09-26 15:28:00,4.13,14096,United Kingdom,2025-09-26 15:28:00,4.13,False,2025,2025-09
525483,22334,DINOSAUR PARTY BAG + STICKER SET,8,2010-10-05 15:49:00,1.65,16722,United Kingdom,2024-10-05 15:49:00,13.2,False,2024,2024-10
500472,22204,MILK PAN BLUE RETROSPOT,1,2010-03-08 12:44:00,7.62,,United Kingdom,2024-03-08 12:44:00,7.62,False,2024,2024-03
526181,22111,SCOTTIE DOG HOT WATER BOTTLE,2,2010-10-10 11:47:00,4.95,12862,United Kingdom,2024-10-10 11:47:00,9.9,False,2024,2024-10
497512,85049B,LUSH GREENS RIBBONS,1,2010-02-10 12:26:00,1.25,17201,United Kingdom,2024-02-10 12:26:00,1.25,False,2024,2024-02
560534,21912,VINTAGE SNAKES & LADDERS,4,2011-07-19 12:10:00,3.75,14911,EIRE,2025-07-19 12:10:00,15.0,False,2025,2025-07
568894,22629,SPACEBOY LUNCH BOX,3,2011-09-29 13:04:00,1.95,17528,United Kingdom,2025-09-29 13:04:00,5.85,False,2025,2025-09
557644,85039C,S/4 BLACK MINI ROSE CANDLE IN BOWL,2,2011-06-21 17:06:00,1.63,,United Kingdom,2025-06-21 17:06:00,3.26,False,2025,2025-06
554997,22336,DOVE DECORATION PAINTED ZINC,48,2011-05-29 15:35:00,0.65,16746,United Kingdom,2025-05-29 15:35:00,31.200000000000003,False,2025,2025-05
